step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_1873322399_2320051372_3641274152_3641274160_stopped,cluster_1873322399_2320051372_3641274152_3641274160_accumulated_waiting_time,cluster_1873322399_2320051372_3641274152_3641274160_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
255.0,52,802.0,4.177083333333333,4.854581273384807,10,773.0,0.08893408463788877,10,773.0
260.0,54,913.0,4.682051282051282,4.541591639079726,11,827.0,0.10736534013172987,11,827.0
265.0,59,1106.0,5.614213197969543,4.129704182375941,13,887.0,0.05005284238217584,13,887.0
270.0,56,1272.0,6.297029702970297,3.8210205287777654,14,956.0,0.061977507397280876,14,956.0
275.0,57,1331.0,6.461165048543689,4.15860621836779,6,802.0,0.11018657695137826,6,802.0
280.0,65,1636.0,7.903381642512077,4.238988341326614,7,831.0,0.12766489131673178,7,831.0
285.0,74,1985.0,9.497607655502392,4.008134973031071,10,863.0,0.0002896714479799104,10,863.0
290.0,77,2323.0,11.16826923076923,3.574337176314572,11,914.0,0.07713675554073124,11,914.0
295.0,84,2688.0,12.560747663551401,3.6332878875871324,11,969.0,0.02614122246903479,11,969.0
300.0,85,3072.0,14.49056603773585,3.277399192768178,11,1026.0,0.002824049153293887,11,1026.0
305.0,86,3248.0,15.037037037037036,3.6617394807171815,12,1088.0,0.11868039915859012,12,1088.0
310.0,84,2988.0,13.76958525345622,3.2614656901321153,11,925.0,0.10206717946321435,11,925.0
315.0,89,2929.0,13.686915887850468,2.8259135183526327,10,951.0,0.02230411050584572,10,951.0
320.0,88,2645.0,12.188940092165899,3.202339893330276,13,1008.0,0.019532640431450386,13,1008.0
