step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_1873322399_2320051372_3641274152_3641274160_stopped,cluster_1873322399_2320051372_3641274152_3641274160_accumulated_waiting_time,cluster_1873322399_2320051372_3641274152_3641274160_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
255.0,48,836.0,4.543478260869565,4.508992594274625,7,297.0,0.08731130611459316,7,297.0
260.0,41,794.0,4.315217391304348,4.4959514439975825,7,231.0,0.11899159842144628,7,231.0
265.0,35,647.0,3.516304347826087,4.945120736025622,8,268.0,0.07114851681187473,8,268.0
270.0,33,498.0,2.663101604278075,4.943385201988883,5,222.0,0.12785256307873985,5,222.0
275.0,36,469.0,2.4427083333333335,5.205002398726534,6,226.0,0.11521603247277554,6,226.0
280.0,45,622.0,3.22279792746114,5.43077966895499,7,261.0,0.059498560694567666,7,261.0
285.0,48,588.0,3.0,4.849064830628494,9,303.0,7.583578911617672e-05,9,303.0
290.0,52,755.0,3.83248730964467,4.377988434336965,9,348.0,0.09118310900234321,9,348.0
295.0,57,984.0,4.871287128712871,4.257063934134907,10,398.0,0.02819289747658561,10,398.0
300.0,58,1142.0,5.738693467336684,3.6320810675006054,7,340.0,0.01378197270647731,7,340.0
305.0,60,1231.0,6.064039408866995,3.6784221714593777,8,464.0,0.16633190833347333,8,464.0
310.0,59,1338.0,6.495145631067961,3.593971031803009,9,501.0,0.13578741302003888,9,501.0
315.0,58,1288.0,6.252427184466019,3.812586187802175,11,599.0,0.04203887731904557,11,599.0
320.0,56,980.0,4.711538461538462,4.083288661329783,8,556.0,0.03977800694136951,8,556.0
